INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
280,lower_juba,Kismayo,Haadweyne5,Borehole,Haadweyne,-0.3775414,42.2973486,,,
281,lower_juba,Kismayo,Haadweyne6,Borehole,Haadweyne,-0.3775414,42.2973486,,,
282,lower_juba,Kismayo,Haadweyne7,Borehole,Haadweyne,-0.3775414,42.2973486,,,
283,lower_juba,Kismayo,Haadweyne8,Borehole,Haadweyne,-0.3775414,42.2973486,,,
284,Lower_juba,Kismayo,Caafi1,Borehole,Guulwade,-0.34025,42.536458,,,
285,Lower_juba,Kismayo,Caafi2,Borehole,Guulwade,-0.340242,42.537018,,,
286,Lower_juba,Kismayo,Caafi3,Borehole,Guulwade,-0.339645,42.536698,,,
287,Lower_juba,Kismayo,Caafi4,Borehole,Guulwade,-0.339908,42.53647,,,
288,Lower_juba,Kismayo,Caafi5,Borehole,Guulwade,-0.33936,42.53611,,,
289,Lower_juba,Kismayo,Caafi6,Borehole,Guulwade,-0.33868,42.53609,,,
290,Lower_juba,Kismayo,Caafi7,Borehole,Guulwade,-0.338132,42.53596,,,
291,Lower_juba,Kismayo,Caafi8,Borehole,Guulwade,-0.3384,42.535847,,,
292,Lower_juba,Kismayo,Caafi9,Borehole,Farjano,-0.32918,42.53365,,,
293,Lower_juba,Kismayo,Caafi10,Borehole,Farjano,-0.32971,42.533492,,,
294,Lower_juba,Kismayo,Caafi11,Borehole,Farjano,-0.329282,42.533088,,,
295,Lower_juba,Kismayo,Caafi12,Borehole,Guulwade,-0.328908,42.532248,,,
296,Lower_juba,Kismayo,Caafi13,Borehole,Farjano,-0.3299693,42.5328828,,,
297,Lower_juba,Kismayo,Caafi14,Borehole,Farjano,-0.3409153,42.5380659,,,
298,Gedo,Luuq,Diido Canaane,Borehole,Diido Canaane,3.8118,42.539162,,,
299,Gedo,Luuq,Yurkud,Borehole,Yurkud,3.79994,42.54483,,,
300,Gedo,Luuq,Boholgarass,Borehole,Boholgaras,4.205699,42.440039,,,
301,Gedo,Luuq,Saacid,Borehole,Jazira,3.81169,42.558183,,,
302,Gedo,luuq,Laastiig,Borehole,Bulo Musley,3.7880269,42.5522738,,,
303,Gedo,Luuq,Qooneey,Barkad,Qooneey,4.11025,42.63489,,,
304,Gedo,Luuq,Boholgaras,Barkad,Boholgaras,3.7652,42.8547,,,
305,Gedo,Luuq,Cusbo,Water pan,Cusbo,4.1021,42.1322,,,
306,Gedo,Luuq,Wabari,Shallow Well,Luuq,3.98239467,41.90725852,,,
307,Gedo,Luuq,Sheik mohamed,Shallow Well,Luuq,3.98238349,41.90696484,,,
308,Gedo,Luuq,Hilac,Shallow Well,Luuq,3.98239508,41.90725829,,,
309,Gedo,Luuq,Golweyn shallow well,Shallow Well,Luuq,3.7929421,42.5468234,,,
310,Gedo,Luuq,Hilaac,Shallow Well,Luuq,3.782728,42.549096,,,
311,Gedo,Luuq,Buula busley,Shallow Well,Luuq,3.78631,42.55234,,,
312,Gedo,Luuq,Buula busley,Shallow Well,Luuq,3.786779,42.552409,,,
313,Gedo,Luuq,Boholyaxaas,Shallow Well,Luuq,3.774728,42.549096,,,
314,Gedo,Luuq,Jinaawkey,Shallow Well,Luuq,3.4729,42.53993,,,
315,Gedo,Luuq,shirkada shaqadoon,Shallow Well,Luuq,3.4561,42.465,,,
316,Gedo,Luuq,Dhuyucley ,Shallow Well,Luuq,3.6768,42.3741,,,
317,Gedo,Luuq,Buulabanda,Shallow Well,Luuq,3.7873,42.4341,,,
318,Gedo,Luuq,Buulabanda,Shallow Well,Luuq,3.6714,42.4379,,,
319,Gedo,Luuq,Ambareefad ,Shallow Well,Luuq,3.6741,42.7993,,,
320,Gedo,Luuq,Ambareefad2,Shallow Well,Luuq,3.7747,42.783,,,
321,Gedo,Luuq,Jaziiro,Shallow Well,Luuq,3.7714,42.7791,,,
322,Gedo,Luuq,Madiina,Shallow Well,Luuq,3.6798,42.587,,,
323,Gedo,Luuq,Dhuyucley,Shallow Well,Luuq,3.7971,42.723,,,
324,Gedo,Luuq,Kaahweyne,Shallow Well,Luuq,3.4725,42.3477,,,
325,Gedo,Luuq,Hanooy,Shallow Well,Luuq,3.758625,42.542232,,,
326,Gedo,Luuq,Quracley,Shallow Well,Luuq,3.758201,42.540366,,,
327,Gedo,Luuq,Doiryaan,Shallow Well,Luuq,3.7456,42.5344,,,
328,Gedo,Luuq,Maganeey,Shallow Well,Luuq,3.78235,42.7556,,,
329,Gedo,Luuq,C qeyr,Shallow Well,Luuq,3.75423,42.5846,,,
330,Gedo,Luuq,Luuq godeey,Shallow Well,Luuq,3.75862,42.46874,,,
331,Gedo,Luuq,Luuq godeey 2,Shallow Well,Luuq,3.7452,42.4752,,,
332,Gedo,Luuq,Garboolow ,Shallow Well,Luuq,3.7587,42.4785,,,
333,Gedo,Luuq,Miiradhuubow ,Shallow Well,Luuq,3.7541,42.5472,,,
334,Gedo,Luuq,Shiidle,Shallow Well,Luuq,3.7541,42.854,,,
335,Gedo,Luuq,Qooneey,Shallow Well,Luuq,4.11025,42.11025,,,
336,Gedo,Luuq,Qooneey,Shallow Well,Luuq,4.11025,42.63489,,,
337,Gedo,Luuq,Cusbo,Shallow Well,Luuq,4.1021,42.1322,,,
338,Gedo,Luuq,Boholgaras ,Shallow Well,Luuq,4.205699,42.440039,,,
339,Gedo,Luuq,Boholgaras,Shallow Well,Luuq,3.7652,42.8547,,,
340,Gedo,Luuq,Cakaaro,Shallow Well,Luuq,3.4874,42.7782,,,
341,Gedo,Luuq,Dogob,Shallow Well,Luuq,3.47755,42.741,,,
342,Gedo,Luuq,Lastiig,Shallow Well,Luuq,3.415,42.338,,,
343,Gedo,Luuq,Balanbaala,Shallow Well,Luuq,3.414,42.328,,,
344,Gedo,Luuq,Tada,Shallow Well,Luuq,3.7471,42.7414,,,
